frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
196,8.0,[936.5193315500492 1363.6217955588959 1524.4493707447482 1872.26212321927],[1141.2083740234375 1684.048095703125 1319.1044921875 1750.483154296875],0.6331440806388855,KH05ZZK,0.42315207123804643
197,1.0,[2096.879126952371 1521.8461472865415 2791.3896010783164 2104.5890140173833],[2337.14794921875 1886.8677978515625 2585.868896484375 1983.7225341796875],0.6366838216781616,AP05JEO,0.2152477232593205
198,1.0,[2098.0375363273074 1529.7670404108417 2802.4451054452716 2115.488546781479],[2334.83642578125 1900.1905517578125 2592.816650390625 1992.6932373046875],0.6126853823661804,AP05JEQ,0.19967817087477222
199,1.0,[2099.50022342408 1535.333939929722 2809.4115143588815 2122.6196049291807],[2338.3212890625 1904.72802734375 2604.328857421875 2009.51416015625],0.6456480622291565,AP05JEO,0.18470122982492868
200,1.0,[2097.686491724859 1540.142941032278 2812.513578163757 2128.486783699085],[2342.543212890625 1916.418212890625 2598.7333984375 2009.4595947265625],0.6184746623039246,AP05JEO,0.5193689239417324
203,8.0,[914.0718371258515 1403.1767737530113 1518.6579750809935 1926.200416111124],[1112.90673828125 1730.8330078125 1296.6820068359375 1795.83837890625],0.5870639681816101,RH05ZZK,0.7079570505365969
206,1.0,[2103.68236255084 1578.1727354566576 2843.474208552501 2156.2900960136362],[2359.432861328125 1964.586669921875 2629.7578125 2065.5576171875],0.6379594206809998,AP05JEO,0.26047469418620894
207,8.0,[882.6292628615613 1423.4453857591407 1512.4521431459696 1951.6281019637854],[1096.7171630859375 1751.54638671875 1283.134033203125 1821.7442626953125],0.6604324579238892,KH05ZZK,0.35950700633592503
208,1.0,[2101.4902905843137 1591.4149444332263 2852.739754219411 2157.7030652632097],[2359.582763671875 1977.61279296875 2623.4833984375 2073.008544921875],0.6612511277198792,AP05JEQ,0.4260387744200767
209,8.0,[875.5100873335209 1432.8039848188585 1510.966438000959 1966.4785048342576],[1090.9180908203125 1766.7598876953125 1271.25390625 1839.5201416015625],0.6049792766571045,KH05ZZK,0.4821330766226885
211,1.0,[2110.756896448169 1607.8104115665183 2865.343509028613 2151.471037784487],[2371.5703125 2003.2237548828125 2643.087890625 2097.91845703125],0.6551539301872253,AP05JEO,0.3997114236821712
212,1.0,[2108.8221273862814 1612.7896304227322 2862.6132420719373 2153.9374194831726],[2387.3505859375 2024.0537109375 2642.508544921875 2104.212158203125],0.6750888824462891,AP05JEO,0.49485578269515174
217,8.0,[842.2323280839491 1478.4062964248424 1492.0012052390666 2033.978168418936],[1059.294677734375 1823.3924560546875 1252.585205078125 1894.8834228515625],0.6137707233428955,KH05ZZK,0.47596261428531217
234,8.0,[759.0606959504235 1588.560786849592 1443.8363276184027 2152.511704894247],[987.6231689453125 1953.747802734375 1200.015625 2036.8388671875],0.6028918623924255,KH05ZZK,0.12088436948145694
253,329.0,[2321.036929777425 1131.4398696254748 2873.6938187883115 1587.322751779272],[2521.05322265625 1425.061279296875 2676.91259765625 1488.088623046875],0.31981512904167175,EY61MBG,0.5202845095691824
254,329.0,[2318.023766629469 1135.3707612786575 2870.316303577897 1594.8419854846688],[2534.274169921875 1424.787353515625 2675.148193359375 1493.1292724609375],0.5079089403152466,EY61MEG,0.6061358326827284
255,329.0,[2316.585341890661 1143.1911110159022 2868.9655046309563 1611.7975694256838],[2536.757080078125 1427.7554931640625 2665.9970703125 1493.83056640625],0.2871280908584595,EY61NEC,0.4007381036924951
272,329.0,[2333.4038568310293 1199.5149850329012 2908.5877656876996 1711.267683890731],[2551.6455078125 1507.1412353515625 2702.3837890625 1573.4752197265625],0.5969681143760681,EY61MEG,0.34271661063687986
273,329.0,[2338.0237304948387 1203.6360751011134 2916.8959886064576 1718.2268113682076],[2554.354736328125 1517.8619384765625 2721.182373046875 1579.3223876953125],0.3508603572845459,EY61MBG,0.6268070289239084
276,329.0,[2338.520522261507 1212.8653682688278 2927.3840806013877 1733.5408027607605],[2561.447265625 1527.384521484375 2720.708740234375 1595.958251953125],0.4179818034172058,EY61MBG,0.6287440896969134
277,329.0,[2339.161466362123 1215.301773652348 2926.8363064088253 1735.914906274249],[2553.60205078125 1534.7841796875 2721.221923828125 1604.0302734375],0.6029192805290222,EY61NBG,0.8979359981979529
278,329.0,[2340.409443694036 1219.7420554727971 2928.246299594186 1740.540306087137],[2553.5947265625 1542.131591796875 2720.96875 1606.9688720703125],0.620434045791626,EY51NBG,0.30428227763083143
281,329.0,[2343.7116134950797 1233.6027256388902 2941.916333801118 1754.1201182644336],[2557.82373046875 1552.7230224609375 2726.033935546875 1615.6776123046875],0.6494119167327881,EY61NBG,0.5196866447824857
284,329.0,[2345.2353901719925 1242.3524239655715 2953.0044508411047 1769.379568565503],[2563.67431640625 1559.990234375 2731.919677734375 1635.76513671875],0.6664093732833862,EY61NBG,0.11392143246016466
287,329.0,[2344.8818690891335 1252.0451255106002 2959.7686413781717 1787.3986407335435],[2570.001953125 1580.2391357421875 2746.323486328125 1654.1075439453125],0.6244751214981079,EY61NBG,0.21832003019492205
288,329.0,[2345.4077026441573 1256.726103171707 2960.0409272228853 1793.7087875229372],[2571.03369140625 1586.28564453125 2741.370849609375 1658.5167236328125],0.6710338592529297,EY61NBG,0.8220871926841046
289,329.0,[2347.0343287267847 1261.274587192997 2962.816910918355 1799.7090136561173],[2573.99072265625 1586.6983642578125 2739.314453125 1660.745849609375],0.6893519163131714,EY61MBG,0.5143307396835999
292,329.0,[2348.5040595360897 1274.4142653616188 2970.137342168511 1817.7682568777238],[2579.75244140625 1607.18896484375 2745.940185546875 1673.5093994140625],0.6521784067153931,EY61NBG,0.4694941586294701
293,329.0,[2347.6592868095527 1276.4879800366075 2969.818289088183 1821.8299834329687],[2577.54443359375 1611.259765625 2750.48681640625 1680.0634765625],0.6490713357925415,EY61NBG,0.5972530284051328
296,329.0,[2352.700867183801 1286.8101899551207 2982.1653486987707 1839.5374201211716],[2583.31591796875 1633.58056640625 2760.4814453125 1702.311767578125],0.583570122718811,EY61NBG,0.2632440375689634
297,329.0,[2353.07046514461 1295.3886810845581 2981.554611912667 1847.495666229943],[2581.92041015625 1632.8485107421875 2766.31298828125 1710.2156982421875],0.6686478853225708,EY61NBG,0.6650290385007926
298,329.0,[2353.524434547446 1300.7853981428152 2980.8694208097563 1852.231626930925],[2585.895263671875 1639.0242919921875 2766.20654296875 1715.84619140625],0.685670793056488,EY61NBG,0.610631605453205
314,329.0,[2377.12386079763 1387.0839549207722 3034.950419544798 1978.513610279781],[2616.7236328125 1743.4324951171875 2800.80615234375 1815.0135498046875],0.6984003186225891,EY61NBG,0.6072539094710293
320,329.0,[2384.712692055145 1421.9312606964315 3059.4547091915615 2020.753784579975],[2624.509521484375 1778.7235107421875 2821.120849609375 1865.6934814453125],0.6784337162971497,EY61NBG,0.662929949103152
352,329.0,[2441.5350943375884 1613.8797038712394 3201.496674348535 2150.917664524508],[2703.20751953125 2039.3763427734375 2920.366943359375 2124.43603515625],0.6784479022026062,EY61NBG,0.47208852951791724
356,383.0,[937.8444269687673 1347.2350312689973 1539.7939939007117 1858.2787173697916],[1152.8914794921875 1701.1688232421875 1313.05224609375 1755.7005615234375],0.39862123131752014,AV04HVF,0.37895033524253363
427,543.0,[2307.527649781498 980.7351188424135 3058.323083661359 1972.186547754989],[2589.9140625 1724.90478515625 2767.669921875 1796.4261474609375],0.626263439655304,BG65USJ,0.780771925263793
440,543.0,[2301.159946804368 1019.7085881092742 3114.5089175066933 2046.2921014998212],[2598.315673828125 1819.23046875 2785.786376953125 1883.7886962890625],0.4853784143924713,BC65USJ,0.313844663763309
464,343.0,[1131.5754862035199 1068.8585210004978 1673.811821478964 1581.0116033538704],[1310.9912109375 1396.1385498046875 1464.800537109375 1465.3223876953125],0.5914124846458435,AK64DMY,0.6003907412938448
467,343.0,[1125.1881653177197 1075.5801843360707 1671.9130454440387 1589.1536642235544],[1300.946533203125 1400.6729736328125 1460.90966796875 1478.110107421875],0.6414107084274292,IK64OMW,0.17006412212643046
468,343.0,[1120.5882037134743 1077.7558565339878 1673.9111012948956 1592.8501032651375],[1303.6436767578125 1408.3421630859375 1457.05419921875 1485.078125],0.6180602312088013,AK54OMY,0.15388270747723787
469,343.0,[1117.353679054102 1078.5400596375218 1674.6791619121905 1594.8796390441023],[1303.396728515625 1410.2147216796875 1455.4862060546875 1485.2186279296875],0.6026772260665894,AK64OMY,0.1564859757450011
473,343.0,[1094.1011496469862 1093.1207613296922 1656.9951448711697 1612.0044656743796],[1292.372314453125 1419.8892822265625 1444.4442138671875 1488.215087890625],0.6106586456298828,AK64OMV,0.4356645397382842
486,343.0,[1073.3495885987065 1135.1923873822036 1649.0151228990205 1665.0530210287368],[1264.9178466796875 1462.521728515625 1428.7196044921875 1533.84716796875],0.6798476576805115,AK64DMV,0.628755590434932
500,343.0,[1031.787644110964 1168.7351272128572 1621.3492316552126 1711.284983132488],[1237.8250732421875 1512.469482421875 1402.0089111328125 1583.406005859375],0.6624796390533447,AK64DMV,0.620508777035097
505,343.0,[1019.0590427558661 1184.2941351061181 1615.9661566653174 1736.3203421909548],[1219.2239990234375 1531.8604736328125 1393.2620849609375 1605.065673828125],0.5891881585121155,AK64DMV,0.8618225418937971
507,343.0,[1015.7945415854072 1191.0355565770428 1616.3055931439292 1746.4994594661557],[1212.8572998046875 1538.397705078125 1388.1041259765625 1613.6470947265625],0.6421961188316345,AK64DMV,0.7361052123895834
528,343.0,[943.2023631418915 1264.471012851208 1575.481047946872 1849.3496661582758],[1165.5596923828125 1633.11962890625 1350.09228515625 1710.387939453125],0.6778569221496582,AK64DMV,0.6268235886223692
529,343.0,[939.2787804023453 1267.0371417088527 1575.4848246799195 1853.883058715507],[1166.8072509765625 1637.9410400390625 1343.7713623046875 1713.864990234375],0.6714011430740356,AK64DMV,0.553575360019858
533,613.0,[2320.4161474170182 1214.9453661788593 2875.9454118480094 1677.2331046313411],[2504.28173828125 1522.777587890625 2665.8291015625 1599.485595703125],0.5921579599380493,EF10DZT,0.6146384267163618
539,343.0,[912.9760885040796 1305.7883116187904 1563.2731511913125 1908.4191935579233],[1142.3021240234375 1688.3155517578125 1331.6627197265625 1767.6236572265625],0.7014595866203308,AK64DMV,0.8324771736044383
544,343.0,[898.9784469279318 1323.6605824730705 1560.3641529760505 1934.2633723920862],[1136.520751953125 1709.814453125 1321.736328125 1784.917724609375],0.6676942706108093,AK64DMV,0.8989571103882078
